idx,keyword,text,
0,dogecoin%20shib%20shibarmy%20africa%20starving%20starvedtodeath%20nestle%20niger,fair economy work hard  yeah suredogecoin shib shibarmy africa starving starvedtodeath nestle niger,
1,hungry%20starving%20ethiopian%20african%20mcdonaldsmonopoly%20food%20melbourneprotest%20africa,Gaming rn and I have to say that gaming really makes you hungry Hungry starving Ethiopian African McDonaldsMonopoly Food Melbourneprotest Africa,
2,conspiracytheories%20exposed%20starving%20children%20in%20africa%20bitch%20fyp%20foryoupage%20scandel,Loserfruit Forgot the hashtags conspiracytheories exposed starving children in Africa bitch fyp foryoupage scandel,
3,lennyhenry%20rednoseday%20clone%20liveaid%20starving%20africa,Remember when LennyHenry and Co set up RedNoseDay as a Faux Clone of LiveAid He NOW says they dont want the Help from White Folk    Maybe remember WHO were the ones performing and donating to the Starving Millions in Africa via LiveAid EH,
4,europe%20africa%20europeans%20africans%20starving%20dancing%20myjijitv,Europeans Africans are starving  europe africa europeans africans starving dancing myjijitvcom,
5,gold%20diamond%20starving%20sahelnow%20africa%20cdnpoli,74 million has gold diamond mines but they are starving  SahelNow  Africa   Men in suits stealing  vonderleyen AOC MinPres BernieSanders jeremycorbyn JustinTrudeau GretaThunberg mehdirhasan cathmckenna WFPMENA katenoconnor1 cdnpoli theJagmeetSingh,
6,underpaid%20starving%20money%20attention%20dramaqueen%20outburst%20osaka%20rolemodel%20africa,serenawilliams says shes been underpaid underpaid how many millions do U hav when people R starving    after more money attention dramaQueen after the outburst against osaka still seeking more limelight no longer a roleModel sharethis Africa,
7,america%20africa%20starving%20richpeople%20food%20help%20billionaires%20next2021%20virus,Minivans at the Food Pantry Meet Americas New Needy   via YahooNews AmericaAFRICA Starving RichPeople Food HELP Billionaires Next2021 Virus,
8,black%20blackpeople%20starving%20africa%20dictators%20alm,kimKBaltimore black lives dont matter only your black lives matter 221 million BlackPeople starving in Africa today since 1955 60mil have died at the hands of the worlds top 10 dictators all black so only your fat well heeled Blacks winging black lives matter ALM,
9,shortstory%20creativewriting%20amwriting%20writersonwriting%20writingcommunity%20poems%20poetry%20love%20writers%20heartbreak%20starving%20children%20africa%20charity%20drought%20savethechildren%20brokenheart%20sadpoems%20medium,I just published UNTIL THE RAIN COMES shortstory creativewriting amwriting writersonwriting writingcommunity poems poetry love Writers heartbreak starving children Africa Charity drought SaveTheChildren brokenheart sadpoems medium,
10,colonial%20powers%20advanced%20wealthy%20africa%20poor%20starving%20oppressors%20oppression%20apartheid%20black%20hispanic%20nativeamerican,Colonial Powers be like Look how Advanced and Wealthy we are Why cant you be more like us Africa Why are you so uncivilized Why are you so poor Why are you starving oppressors Oppression Apartheid Black Hispanic NativeAmerican,
11,theresmoretolifethanshopping%20tmtlts%20cotton%20china%20starving%20africa%20politics%20climateawareness,LBC TheresMoreToLifeThanShopping TMTLTS Buying Cotton from China led to many Starving in Africa due to dispotic politics Noone said or did anything back then 25 years ago ClimateAwareness,
12,cotton%20china%20political%20africa%20starving,LBC Hi Maajid The Cotton China thing started 25 years ago Due to political troubles in Africa there was an embargo from us buying cotton from there This led to communities starving The world stood by in obliviousness We worldwide started buying cotton from China,
13,institutional_corruption%20africa%20starving%20dying,foreignoffice InstitutionalCorruption in Africa constitutes one of the gravest human rights violations diverting public funds to private use amp leaving million Starving to death or  Dying because of lack affordable medical care,
14,new_apartheid%20police_brutality%20africa%20rich5%20poor95%20foreign_ngos%20mass_migrating%20starving,afropolitan mimmitwit Sadly  newapartheid complete with  policebrutality has sprung up all over  Africa where the  rich5 amp the  poor95 live separate lives the later depending on foreignNGOs   massmigrating or  starving,
15,africa%20covid19%20hunger%20poverty%20starving%20economiccrisis,Africa  tough moments during COVID19 lockdown hunger poverty starving EconomicCrisis,
16,south%20africa%20starving%20now,2May2020  South Africa Im starving now World faces unprecedented hunger crisis amid coronavirus pandemic Debora Patta et al CBS News,
17,lions%20starving%20farms%20south%20africa%20die%20lionbone%20wine%20china,Cites so you R still N existence What about the Lions starving amp languishing on Farms in South Africa not waiting to Die to become Lionbone Wine for China Have you visited those death farms,
18,stayhome%20coronacrisis%20socialdistancing%20coronavirus%20covid19%20death%20disease%20hunger%20work%20living%20brasil%20brazil%20colombia%20venezuela%20africa%20syria%20irak%20iran%20jobs%20starving,Not every job or country is suited for stayhome coronacrisissocialdistancing coronavirus covid19  death disease hunger work living brasil brazil colombia venezuela africa syria irak iran CartoonMovement CartooningPeace jobs starving WHO coronabrasil,
19,americans%20clean%20water%20tribes%20africa%20life%20granted%20starving%20dying%20dehydration,Most Americans have clean drinkable water access while tribes in Africa one must walk miles to get fresh water a must for life Americans take this for granted While others on the same planet are starving amp dying of dehydration,
20,starving%20wildlife%20rescue%20southafrica%20animalcruelty%20hunting%20poaching%20extinction%20defendanimals%20protectanimals%20wildanimals%20africa%20saveanimals,Wild animals belong in the wild Starving wildlife saved in mammoth rescue operation from private reserve in  SouthAfrica animalcruelty hunting poaching extinction defendanimals protectanimals wildanimals africa saveanimals,
