index,keyword,text,label
0,live%20laugh%20love%20repeat%20purposedrivenlife%20getinthegame%20assignment%20mylifeasalemon%20letsgo,She understood the assignment No job just Purpose for me  live laugh love repeat 2021 purposedrivenlife getinthegame puckerup assignment mylifeasalemon letsgo,0
1,houselovers%20fm%20love%20house%20radio%20house%20techno%20deep,Now live Chromeo  Jealous Solidisco Remix     houselovers fm love house radio house techno deep,0
2,kindness%20love%20humanity,Kindness kindness  love humanity,0
3,love%20god%20bible,Was then that which is good made death unto me God forbid But sin that it might appear sin working death in me by that which is good that sin by the commandment might become exceeding sinful Romans 713 Love God Bible,0
4,friendshipcollar%20bff%20cats%20cat%20catlover%20catlife%20love%20photooftheday%20fashion,handsome boy mauithecanadiantabby  friendshipcollar bff cats cat catlover catlife  love photooftheday fashion,0
5,indigenouspeoplesday%20nautesport%20running%20sunglasses%20triathlon%20run%20fashion%20swimbikerun%20fitness%20style%20triathlete%20runner%20shades%20workout%20love%20ironman%20training%20sun%20triathlontraining%20fit%20cycling%20motivation%20eyewear,Have a lovely day of observance on this IndigenousPeoplesDay  nautesport running sunglasses triathlon run fashion swimbikerun fitness style triathlete runner shades workout love ironman training sun triathlontraining fit cycling motivation eyewear,0
6,love,Let brotherly love continuelove Hebrews 131 KJV,0
7,fairwaymedia%20thanksgiving%20thankful%20love%20thanks%20family%20food%20thanksgivingdinner%20happythanksgiving%20givethanks,Happy Holidays On this Thanksgiving may your heart be full of love and your tummy full of turkey   FairwayMedia thanksgiving thankful love thanks family food thanksgivingdinner happythanksgiving givethanks,0
8,peace%20love%20happiness%20indigenouspeoplesday%20indigenous,HAPPY INDIGENOUS PEOPLES DAY fuck Christopher Columbus HE was a shitty person HE did not discover America HE was a nothing and now WE all know the truth Do not take your morals  life lessons from the Government peace love happiness IndigenousPeoplesDay INDIGENOUS,0
9,smartypartystyle%20love,Thank you everyone for joining the Smarty Party Make sure to tag us in your gear we love to see it  smartypartystyle love,0
10,kids%20parenting%20love,I am becoming my mother A hour and a half into the kids being off of schoolI threatened to throw all their toys away if they dont start playing with them and leave me alone kids parenting love,0
11,healing%20love%20inspiration%20bipolar%20bipolarlife%20bipolarwarrior%20mentalhealth,I saw a baby lizard jump like SpiderMan from a tree It made me smile Nature is healing   We should spend more time with her healing love inspiration bipolar bipolarlife bipolarwarrior mentalhealth,0
12,sharingiscaring%20foodwaste%20sharemorewasteless%20support%20community%20love%20zerowaste,Sustainable Versatile and Creative Nice job Rahima     SharingIsCaring FoodWaste ShareMoreWasteLess support community love  zerowaste,0
13,deborahlivingston%20love%20relationships%20psychic%20psychicmedium%20spiritualcounselor%20bap%20shayparker%20bestamericanpsychics,Deborah Livingston  Professional Psychic Medium on Shay Parkers Best American Psychics  DeborahLivingston Love RelationshipsPsychic PsychicMedium SpiritualCounselor BAP ShayParker BestAmericanPsychics,0
